location,description,severity,time_pattern,incident_type
Brock and Alfred,Intersection of Brock St and Alfred St,10,Evening,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Evening,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,8,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Evening,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Evening,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Morning,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Morning,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Evening,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,6,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Morning,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,8,Various times,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,8,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Evening,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Morning,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Various times,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Evening,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,6,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Evening,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Morning,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,8,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Evening,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,6,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Morning,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,6,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Various times,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Evening,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Various times,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Evening,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,8,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,8,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,8,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,8,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,6,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,6,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Morning,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Evening,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Evening,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,8,Evening,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,6,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Morning,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,6,Various times,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Morning,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Various times,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Various times,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,9,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Afternoon,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,7,Night,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,9,Night,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,8,Morning,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Afternoon,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,7,Night,Safety concerns
Brock and Alfred,Intersection of Brock St and Alfred St,10,Afternoon,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Evening,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Various times,Frequent incidents
Brock and Alfred,Intersection of Brock St and Alfred St,6,Evening,Multiple incidents
Brock and Alfred,Intersection of Brock St and Alfred St,10,Night,Frequent incidents
